KONCESSION,Spanning,Enhet,FöretagNa,kommunkod,kommunnamn,Företagsnamn,Hemsida,Emailadress,Telefonnummer,Adress
1886C,20,REL00193,Töre Energi ek. för.,"2514",Kalix,Töre Energi ek. för.,toreenergi.se,info@toreenergi.se,0923-64 00 13,"Hantverksvägen 14, 952 43 Töre"
8600H,20,REL03030,Vattenfall Eldistribution AB,"2514",Kalix,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600R,20,REL03030,Vattenfall Eldistribution AB,"2514",Kalix,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
"10861",24,REL03030,Vattenfall Eldistribution AB,"2514",Kalix,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
3520M,20,REL00012,Upplands Energi ek. för.,"0382",Östhammar,Upplands Energi ek. för.,upplandsenergi.se,info@upplandsenergi.se,018-67 84 00,"Ramsjövägen 46, 743 63 Björklinge"
731ÖEM,20,REL03030,Vattenfall Eldistribution AB,"0382",Östhammar,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGR,20,REL03030,Vattenfall Eldistribution AB,"0382",Östhammar,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGT,20,REL03030,Vattenfall Eldistribution AB,"0382",Östhammar,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
380Bm,20,REL03028,E.ON Energidistribution AB,"0885",Borgholm,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4036Q,20,REL00017,Borgholm Energi Elnät AB,"0885",Borgholm,Borgholm Energi Elnät AB,borgholmenergi.se,info@borgholmenergi.se,0485-883 00,"Badhusgatan 4, 387 32 Borgholm"
6447AB,20,REL00246,Ålem Energi AB,"0885",Borgholm,Ålem Energi AB,alemenergi.se,info@alemenergi.se,010-35 38 362,"Råsnäs 103, 384 71 Timmernabben"
380Bm,20,REL03028,E.ON Energidistribution AB,"0840",Mörbylånga,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
292AL,20,REL00239,Västerviks Kraft-Elnät AB,"0883",Västervik,Västerviks Kraft-Elnät AB,vmeab.se,miljoenergi@vastervik.se,010-355 70 50,"Box 25, 593 21 Västervik"
380PCy,20,REL03028,E.ON Energidistribution AB,"0883",Västervik,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380RCc,20,REL03028,E.ON Energidistribution AB,"0883",Västervik,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CPG,20,REL03028,E.ON Energidistribution AB,"0883",Västervik,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
1294BF,20,REL01010,Sandviken Energi Elnät AB,"2180",Gävle,Sandviken Energi Elnät AB,sandvikenenergi.se,info@sandvikenenergi.se,026-24 16 00,"Box 91, 811 21 Sandviken"
2810X,20,REL01010,Sandviken Energi Elnät AB,"2180",Gävle,Sandviken Energi Elnät AB,sandvikenenergi.se,info@sandvikenenergi.se,026-24 16 00,"Box 91, 811 21 Sandviken"
2869BA,20,REL00249,Årsunda Kraft & Belysningsförening ek. för.,"2180",Gävle,Årsunda Kraft & Belysningsförening ek. för.,arsunda-kraft.se,info@arsunda-kraft.se,026-29 08 54,"Hedkarbyvägen 22, 811 73 Årsunda"
3011AH,20,REL03057,Gävle Energi Elnät AB,"2180",Gävle,Gävle Energi Elnät AB,gavleenergi.se,,026-17 85 75,"Box 783, 801 29 Gävle"
3520M,20,REL00012,Upplands Energi ek. för.,"2180",Gävle,Upplands Energi ek. för.,upplandsenergi.se,info@upplandsenergi.se,018-67 84 00,"Ramsjövägen 46, 743 63 Björklinge"
64OÅ,20,REL03035,Ellevio AB,"2180",Gävle,Ellevio AB,ellevio.se,,0771-53 53 00,
731ÖEM,20,REL03030,Vattenfall Eldistribution AB,"2180",Gävle,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8201J,20,REL03057,Gävle Energi Elnät AB,"2180",Gävle,Gävle Energi Elnät AB,gavleenergi.se,,026-17 85 75,"Box 783, 801 29 Gävle"
1290BP,20,REL00175,Staffanstorps Energi AB,"1231",Burlöv,Staffanstorps Energi AB,staffanstorpscentrum.se/energi,staffanstorpsenergi@staffanstorp.se,046-280 43 00,"Box 137, 245 22 Staffanstorp"
365DG,50,REL03028,E.ON Energidistribution AB,"1231",Burlöv,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
401BG,20,REL00886,Kraftringen Nät AB,"1231",Burlöv,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
2974CB,20,REL00886,Kraftringen Nät AB,"1080",Karlskrona,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
322AG,20,REL00091,Affärsverken Elnät i Karlskrona AB,"1080",Karlskrona,Affärsverken Elnät i Karlskrona AB,affarsverken.se,kundservice@affarsverken.se,0455-783 75,"Box 530, 371 23 Karlskrona"
380CIÖ,20,REL03028,E.ON Energidistribution AB,"1080",Karlskrona,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380GCt,20,REL03028,E.ON Energidistribution AB,"1080",Karlskrona,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380ÄCc,20,REL03028,E.ON Energidistribution AB,"1080",Karlskrona,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380ÄCf,20,REL03028,E.ON Energidistribution AB,"1080",Karlskrona,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4504AD,20,REL00156,Rödeby Elverk ek. för.,"1080",Karlskrona,Rödeby Elverk ek. för.,rodebyelverk.net,info@rodebyelverk.net,0455-485 30,"Karlskronavägen 38, 373 43 Rödeby"
7035O,24,REL00886,Kraftringen Nät AB,"1080",Karlskrona,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
"10870",52,REL00008,Bergs Tingslags Elektriska AB,"2260",Ånge,Bergs Tingslags Elektriska AB,btea.se,info@btea.se,0771-44 44 41,"Olstavägen 26, 845 51 Åsarna"
1952EA,52,REL00576,Härjeåns Nät AB,"2260",Ånge,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
35CR,24,REL03035,Ellevio AB,"2260",Ånge,Ellevio AB,ellevio.se,,0771-53 53 00,
380CIB,20,REL03028,E.ON Energidistribution AB,"2260",Ånge,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
1517DP,20,REL03035,Ellevio AB,"2062",Mora,Ellevio AB,ellevio.se,,0771-53 53 00,
1952EA,52,REL00576,Härjeåns Nät AB,"2062",Mora,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
306CN,20,REL03009,Dala Energi Elnät AB,"2062",Mora,Dala Energi Elnät AB,dalaenergi.se,info@dalaenergi.se,0247-738 00,"Box 254, 793 26 Leksand"
35CR,24,REL03035,Ellevio AB,"2062",Mora,Ellevio AB,ellevio.se,,0771-53 53 00,
35DG,20,REL03035,Ellevio AB,"2062",Mora,Ellevio AB,ellevio.se,,0771-53 53 00,
"11116",36,REL00123,Malung-Sälens Elnät AB,"2062",Mora,Malung-Sälens Elnät AB,malungselnat.se,kundservice@msen.se,0280-442 00,"Box 4, 782 21 Malung"
3646AP,33,REL00130,Nacka Energi AB,"0120",Värmdö,Nacka Energi AB,nackaenergi.se,info@nackaenergi.se,08-466 81 00,"Box 753, 131 24 Nacka"
3679z,20,REL00016,Boo Energi ek. för.,"0120",Värmdö,Boo Energi ek. för.,booenergi.se,kundservice@booenergi.se,08-747 51 70,"Värmdövägen 657, Box 103, 132 23 Saltsjö-Boo"
5259L,25,REL03030,Vattenfall Eldistribution AB,"0120",Värmdö,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖFÖ,20,REL03030,Vattenfall Eldistribution AB,"0120",Värmdö,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGM,20,REL03030,Vattenfall Eldistribution AB,"0120",Värmdö,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7413T,20,REL03028,E.ON Energidistribution AB,"0120",Värmdö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
1275Aa,20,REL00959,Åsele Elnät AB,"2425",Dorotea,Åsele Elnät AB,aselekraft.net,info@aselekraft.net,0941-100 03,"Centralgatan 31, 919 31 Åsele"
406GU,20,REL03028,E.ON Energidistribution AB,"2425",Dorotea,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
8600N,22,REL03030,Vattenfall Eldistribution AB,"2425",Dorotea,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
104FA,40,REL00118,Luleå Energi Elnät AB,"2513",Överkalix,Luleå Energi Elnät AB,luleaenergi.se,info@luleaenergi.se,0920-26 44 00,"Björkskataleden 95, 973 47 Luleå"
8600H,20,REL03030,Vattenfall Eldistribution AB,"2513",Överkalix,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600K,20,REL03030,Vattenfall Eldistribution AB,"2513",Överkalix,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600L,20,REL03030,Vattenfall Eldistribution AB,"2513",Överkalix,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600R,20,REL03030,Vattenfall Eldistribution AB,"2513",Överkalix,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
114AG,20,REL00077,Härnösand Elnät AB,"2282",Kramfors,Härnösand Elnät AB,hemab.se,info@hemab.se,0611-55 75 00,"Box 304, 871 26 Härnösand"
1978U,20,REL03028,E.ON Energidistribution AB,"2282",Kramfors,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CIB,20,REL03028,E.ON Energidistribution AB,"2282",Kramfors,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
406GU,20,REL03028,E.ON Energidistribution AB,"2282",Kramfors,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
5586U,20,REL03028,E.ON Energidistribution AB,"2282",Kramfors,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
1698AB,20,REL00824,Skellefteå Kraft Elnät AB,"2404",Vindeln,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
412KC,20,REL00824,Skellefteå Kraft Elnät AB,"2404",Vindeln,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
72JA,52,REL00584,Umeå Energi Elnät AB,"2404",Vindeln,Umeå Energi Elnät AB,umeaenergi.se,umea.energi@umeaenergi.se,090-16 00 00,"Box 224, 901 05 Umeå"
8600N,22,REL03030,Vattenfall Eldistribution AB,"2404",Vindeln,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
"11004",24,REL03030,Vattenfall Eldistribution AB,"2404",Vindeln,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1952EA,52,REL00576,Härjeåns Nät AB,"2303",Ragunda,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
380CIB,20,REL03028,E.ON Energidistribution AB,"2303",Ragunda,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
406GU,20,REL03028,E.ON Energidistribution AB,"2303",Ragunda,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
3520M,20,REL00012,Upplands Energi ek. för.,"0360",Tierp,Upplands Energi ek. för.,upplandsenergi.se,info@upplandsenergi.se,018-67 84 00,"Ramsjövägen 46, 743 63 Björklinge"
731ÖEM,20,REL03030,Vattenfall Eldistribution AB,"0360",Tierp,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGR,20,REL03030,Vattenfall Eldistribution AB,"0360",Tierp,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
153BK,110,REL03035,Ellevio AB,"0183",Sundbyberg,Ellevio AB,ellevio.se,,0771-53 53 00,
8300A,70,REL03030,Vattenfall Eldistribution AB,"0183",Sundbyberg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1952EA,52,REL00576,Härjeåns Nät AB,"2132",Nordanstig,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
35CR,24,REL03035,Ellevio AB,"2132",Nordanstig,Ellevio AB,ellevio.se,,0771-53 53 00,
380CIB,20,REL03028,E.ON Energidistribution AB,"2132",Nordanstig,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
72JA,52,REL00584,Umeå Energi Elnät AB,"2401",Nordmaling,Umeå Energi Elnät AB,umeaenergi.se,umea.energi@umeaenergi.se,090-16 00 00,"Box 224, 901 05 Umeå"
"11004",24,REL03030,Vattenfall Eldistribution AB,"2401",Nordmaling,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600Q,20,REL03030,Vattenfall Eldistribution AB,"2401",Nordmaling,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
3355BB,20,REL03035,Ellevio AB,"1785",Säffle,Ellevio AB,ellevio.se,,0771-53 53 00,
418AP,25,REL03035,Ellevio AB,"1785",Säffle,Ellevio AB,ellevio.se,,0771-53 53 00,
440AC,40,REL03038,Lidköping Elnät AB,"1785",Säffle,Lidköping Elnät AB,lidkoping.se/lidkoping-elnat/start,lidkopingelnat@lidkoping.se,0510-77 00 00,"Skogvaktarevägen 7c, 531 53 Lidköping"
685CD,20,REL00585,Götene Elförening ek. för.,"1785",Säffle,Götene Elförening ek. för.,kinnekulleenergi.se/en-del-av-gotene-elforening,kundtjanst@kinnekulleenergi.se,0511-34 55 00,"Box 81, 533 21 Götene"
7220EK,20,REL03035,Ellevio AB,"1785",Säffle,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EM,20,REL03035,Ellevio AB,"1785",Säffle,Ellevio AB,ellevio.se,,0771-53 53 00,
8400AL,24,REL03030,Vattenfall Eldistribution AB,"1785",Säffle,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8400AM,24,REL03030,Vattenfall Eldistribution AB,"1785",Säffle,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1785",Säffle,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1892IR,20,REL00029,Övertorneå Energi AB,"2518",Övertorneå,Övertorneå Energi AB,övertårneåenergi.se,kundtjanst@energi.overtornea.se,0927-796 60,"Älvvägen 13, 957 31 Övertorneå"
8600H,20,REL03030,Vattenfall Eldistribution AB,"2518",Övertorneå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600L,20,REL03030,Vattenfall Eldistribution AB,"2518",Övertorneå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600R,20,REL03030,Vattenfall Eldistribution AB,"2518",Övertorneå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
"10861",24,REL03030,Vattenfall Eldistribution AB,"2518",Övertorneå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1952EA,52,REL00576,Härjeåns Nät AB,"2380",Östersund,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
380CIB,20,REL03028,E.ON Energidistribution AB,"2380",Östersund,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
406GU,20,REL03028,E.ON Energidistribution AB,"2380",Östersund,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4CH,40,REL00085,Jämtkraft Elnät AB,"2380",Östersund,Jämtkraft Elnät AB,jamtkraft.se,info@jamtkraft.se,063-14 90 00,"Kyrkgatan 21, 831 25 Östersund"
412JX,20,REL00824,Skellefteå Kraft Elnät AB,"2409",Robertsfors,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
412KC,20,REL00824,Skellefteå Kraft Elnät AB,"2409",Robertsfors,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
72JA,52,REL00584,Umeå Energi Elnät AB,"2409",Robertsfors,Umeå Energi Elnät AB,umeaenergi.se,umea.energi@umeaenergi.se,090-16 00 00,"Box 224, 901 05 Umeå"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1435",Tanum,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8705BN,20,REL03035,Ellevio AB,"1435",Tanum,Ellevio AB,ellevio.se,,0771-53 53 00,
8705BX,20,REL03035,Ellevio AB,"1435",Tanum,Ellevio AB,ellevio.se,,0771-53 53 00,
8705F,20,REL03035,Ellevio AB,"1435",Tanum,Ellevio AB,ellevio.se,,0771-53 53 00,
1426AK,20,REL00183,Söderhamn Elnät AB,"2182",Söderhamn,Söderhamn Elnät AB,soderhamnnara.se/sidor/elnat.html,info@soderhamnnara.se,0270-766 10,"Box 94, 826 22 Söderhamn"
35CR,24,REL03035,Ellevio AB,"2182",Söderhamn,Ellevio AB,ellevio.se,,0771-53 53 00,
64OÅ,20,REL03035,Ellevio AB,"2182",Söderhamn,Ellevio AB,ellevio.se,,0771-53 53 00,
380CFS,20,REL03028,E.ON Energidistribution AB,"0882",Oskarshamn,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CFT,20,REL03028,E.ON Energidistribution AB,"0882",Oskarshamn,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CGZ,20,REL03028,E.ON Energidistribution AB,"0882",Oskarshamn,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CNV,20,REL03028,E.ON Energidistribution AB,"0882",Oskarshamn,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380RCc,20,REL03028,E.ON Energidistribution AB,"0882",Oskarshamn,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
433AA,20,REL00146,Oskarshamn Energi Nät AB,"0882",Oskarshamn,Oskarshamn Energi Nät AB,oskarshamnenergi.se,info@oskarshamnenergi.se,010-35 63 400,"Box 564, 572 26 Oskarshamn"
1294BF,20,REL01010,Sandviken Energi Elnät AB,"2080",Falun,Sandviken Energi Elnät AB,sandvikenenergi.se,info@sandvikenenergi.se,026-24 16 00,"Box 91, 811 21 Sandviken"
"11404",24,REL03015,Falu Elnät AB,"2080",Falun,Falu Elnät AB,fev.se,info@fev.se,023-77 49 00,"Box 213, 791 25 Falun"
306CL,20,REL03009,Dala Energi Elnät AB,"2080",Falun,Dala Energi Elnät AB,dalaenergi.se,info@dalaenergi.se,0247-738 00,"Box 254, 793 26 Leksand"
5755AI,20,REL00075,Hofors Elverk AB,"2080",Falun,Hofors Elverk AB,hoforselverk.se,info@hoforselverk.se,0290-77 18 00,"Box 153, 813 23 Hofors"
6351Ax,20,REL00018,AB Borlänge Energi Elnät,"2080",Falun,AB Borlänge Energi Elnät,borlange-energi.se,kund@borlange-energi.se,0243-730 00,"Nygårdsvägen 9, 781 70 Borlänge"
1517DP,20,REL03035,Ellevio AB,"2031",Rättvik,Ellevio AB,ellevio.se,,0771-53 53 00,
"11404",24,REL03015,Falu Elnät AB,"2031",Rättvik,Falu Elnät AB,fev.se,info@fev.se,023-77 49 00,"Box 213, 791 25 Falun"
306CN,20,REL03009,Dala Energi Elnät AB,"2031",Rättvik,Dala Energi Elnät AB,dalaenergi.se,info@dalaenergi.se,0247-738 00,"Box 254, 793 26 Leksand"
35CR,24,REL03035,Ellevio AB,"2031",Rättvik,Ellevio AB,ellevio.se,,0771-53 53 00,
4694AF,20,REL03035,Ellevio AB,"2031",Rättvik,Ellevio AB,ellevio.se,,0771-53 53 00,
3251P,24,REL03028,E.ON Energidistribution AB,"0380",Uppsala,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
3520M,20,REL00012,Upplands Energi ek. för.,"0380",Uppsala,Upplands Energi ek. för.,upplandsenergi.se,info@upplandsenergi.se,018-67 84 00,"Ramsjövägen 46, 743 63 Björklinge"
731ÖDH,20,REL03030,Vattenfall Eldistribution AB,"0380",Uppsala,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖEM,20,REL03030,Vattenfall Eldistribution AB,"0380",Uppsala,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGR,20,REL03030,Vattenfall Eldistribution AB,"0380",Uppsala,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGT,20,REL03030,Vattenfall Eldistribution AB,"0380",Uppsala,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7408BC,20,REL00157,Sala-Heby Energi Elnät AB,"0380",Uppsala,Sala-Heby Energi Elnät AB,sheab.se,kundtjanst@sheab.se,0224-576 00,"Fabriksgatan 14, 733 39 Sala"
1839AN,20,REL03030,Vattenfall Eldistribution AB,"0136",Haninge,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
2275AI,20,REL03030,Vattenfall Eldistribution AB,"0136",Haninge,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
352L,20,REL03035,Ellevio AB,"0136",Haninge,Ellevio AB,ellevio.se,,0771-53 53 00,
3646AP,33,REL00130,Nacka Energi AB,"0136",Haninge,Nacka Energi AB,nackaenergi.se,info@nackaenergi.se,08-466 81 00,"Box 753, 131 24 Nacka"
3842L,20,REL03030,Vattenfall Eldistribution AB,"0136",Haninge,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖFÖ,20,REL03030,Vattenfall Eldistribution AB,"0136",Haninge,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGM,20,REL03030,Vattenfall Eldistribution AB,"0136",Haninge,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
2947L,20,REL00147,Oxelö Energi AB,"0480",Nyköping,Oxelö Energi AB,oxeloenergi.se,oxeloenergi@oxelosund.se,0155-388 40,"Sjögatan 28, 613 81 Oxelösund"
380COD,40,REL03028,E.ON Energidistribution AB,"0480",Nyköping,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COÅ,24,REL03028,E.ON Energidistribution AB,"0480",Nyköping,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
704AS,20,REL03030,Vattenfall Eldistribution AB,"0480",Nyköping,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖFM,20,REL03030,Vattenfall Eldistribution AB,"0480",Nyköping,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖFN,20,REL03030,Vattenfall Eldistribution AB,"0480",Nyköping,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖFP,20,REL03030,Vattenfall Eldistribution AB,"0480",Nyköping,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGG,20,REL03030,Vattenfall Eldistribution AB,"0480",Nyköping,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
380CPG,20,REL03028,E.ON Energidistribution AB,"0563",Valdemarsvik,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
175VIIs(8),20,REL00111,Tekniska verken Linköping Nät AB,"0581",Norrköping,Tekniska verken Linköping Nät AB,tekniskaverken.se,kundservice@tekniskaverken.se,0771-25 26 27,"Box 1500, 58115 Linköping"
